14:05:52,238 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:45:35,848 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=173 ms, enhance=0 ms, total=173 ms. Consult the log for full details
14:45:35,848 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:46:36,870 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:46:37,095 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:46:37,268 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=172 ms, enhance=0 ms, total=172 ms. Consult the log for full details
14:46:37,268 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:47:55,832 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:47:56,076 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:47:56,247 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=169 ms, enhance=0 ms, total=169 ms. Consult the log for full details
14:47:56,247 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:50:57,086 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:50:57,314 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:50:57,500 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=184 ms, enhance=0 ms, total=184 ms. Consult the log for full details
14:50:57,500 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:06:01,100 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:06:01,464 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:06:01,688 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=223 ms, enhance=0 ms, total=223 ms. Consult the log for full details
15:06:01,689 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:08:16,655 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:08:16,880 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:08:17,059 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=177 ms, enhance=0 ms, total=177 ms. Consult the log for full details
15:08:17,059 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:09:24,430 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:09:24,764 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:09:24,947 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=182 ms, enhance=0 ms, total=182 ms. Consult the log for full details
15:09:24,947 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:16:30,715 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:16:30,949 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:16:31,124 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=174 ms, enhance=0 ms, total=174 ms. Consult the log for full details
15:16:31,124 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:19:40,286 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:19:40,525 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:19:40,718 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=191 ms, enhance=0 ms, total=191 ms. Consult the log for full details
15:19:40,718 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:20:28,018 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:20:28,293 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:20:28,470 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=174 ms, enhance=0 ms, total=174 ms. Consult the log for full details
15:20:28,470 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:21:44,468 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:21:44,822 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:21:45,081 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=258 ms, enhance=0 ms, total=258 ms. Consult the log for full details
15:21:45,082 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
15:23:44,809 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
15:23:45,021 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
15:23:45,209 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=186 ms, enhance=0 ms, total=186 ms. Consult the log for full details
15:23:45,209 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
16:03:23,817 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
16:03:24,070 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
16:03:24,248 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=177 ms, enhance=0 ms, total=177 ms. Consult the log for full details
16:03:24,248 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:23:22,518 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:23:22,840 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:23:23,088 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=247 ms, enhance=0 ms, total=247 ms. Consult the log for full details
10:23:23,089 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
13:21:58,319 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
13:21:58,904 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
13:21:59,266 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=361 ms, enhance=0 ms, total=361 ms. Consult the log for full details
13:21:59,266 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
13:53:47,552 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
13:53:47,776 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
13:53:48,048 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=270 ms, enhance=0 ms, total=270 ms. Consult the log for full details
13:53:48,049 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
17:16:35,547 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
17:16:35,856 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
17:16:36,171 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=313 ms, enhance=0 ms, total=313 ms. Consult the log for full details
17:16:36,171 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:04:22,963 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:04:23,792 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:04:24,425 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=613 ms, enhance=0 ms, total=613 ms. Consult the log for full details
12:04:24,426 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:09:33,195 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:09:33,559 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:09:33,771 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=211 ms, enhance=0 ms, total=211 ms. Consult the log for full details
12:09:33,772 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:10:14,539 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:10:14,780 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:10:14,976 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=195 ms, enhance=0 ms, total=195 ms. Consult the log for full details
12:10:14,977 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:10:39,617 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:10:39,855 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:10:40,100 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=243 ms, enhance=0 ms, total=243 ms. Consult the log for full details
12:10:40,100 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:13:23,592 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:13:23,835 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:13:24,039 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=203 ms, enhance=0 ms, total=203 ms. Consult the log for full details
12:13:24,040 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:14:42,302 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:14:42,628 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:14:42,845 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=216 ms, enhance=0 ms, total=216 ms. Consult the log for full details
12:14:42,848 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:15:14,131 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:15:14,371 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:15:14,579 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=207 ms, enhance=0 ms, total=207 ms. Consult the log for full details
12:15:14,580 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:15:53,589 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:15:53,812 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:15:54,003 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=190 ms, enhance=0 ms, total=190 ms. Consult the log for full details
12:15:54,004 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:16:33,460 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:16:33,680 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:16:33,883 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=200 ms, enhance=0 ms, total=200 ms. Consult the log for full details
12:16:33,884 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:19:39,721 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:19:39,972 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:19:40,159 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=185 ms, enhance=0 ms, total=185 ms. Consult the log for full details
12:19:40,159 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:20:03,849 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:20:04,071 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:20:04,260 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=187 ms, enhance=0 ms, total=187 ms. Consult the log for full details
12:20:04,260 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:23:11,794 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:23:12,245 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:23:12,557 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=306 ms, enhance=0 ms, total=306 ms. Consult the log for full details
12:23:12,557 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:42:25,536 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:42:25,867 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:42:26,099 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=231 ms, enhance=0 ms, total=231 ms. Consult the log for full details
12:42:26,100 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:37:14,782 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:37:15,088 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:37:15,325 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=236 ms, enhance=0 ms, total=236 ms. Consult the log for full details
14:37:15,325 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:43:40,604 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:43:40,817 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:43:41,015 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=197 ms, enhance=0 ms, total=197 ms. Consult the log for full details
14:43:41,015 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:44:30,297 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:44:30,523 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:44:30,714 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=190 ms, enhance=0 ms, total=190 ms. Consult the log for full details
14:44:30,715 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:46:25,308 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:46:25,612 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:46:25,837 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=223 ms, enhance=0 ms, total=223 ms. Consult the log for full details
14:46:25,838 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:49:13,069 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:49:13,319 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:49:13,499 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=179 ms, enhance=0 ms, total=179 ms. Consult the log for full details
14:49:13,500 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
16:14:59,222 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
16:14:59,449 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
16:14:59,644 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=194 ms, enhance=0 ms, total=194 ms. Consult the log for full details
16:14:59,645 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
16:57:43,654 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
16:57:44,257 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
16:57:44,645 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=387 ms, enhance=0 ms, total=387 ms. Consult the log for full details
16:57:44,645 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
17:06:05,912 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
17:06:06,221 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
17:06:06,429 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=206 ms, enhance=0 ms, total=206 ms. Consult the log for full details
17:06:06,430 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
17:06:50,061 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
17:06:50,321 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
17:06:50,518 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=196 ms, enhance=0 ms, total=196 ms. Consult the log for full details
17:06:50,518 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:02:49,528 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:02:49,963 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:02:50,400 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=435 ms, enhance=0 ms, total=435 ms. Consult the log for full details
10:02:50,400 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
12:56:34,600 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
12:56:34,981 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
12:56:35,326 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=344 ms, enhance=0 ms, total=344 ms. Consult the log for full details
12:56:35,326 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
18:14:17,638 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
18:14:18,056 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
18:14:18,489 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=430 ms, enhance=0 ms, total=430 ms. Consult the log for full details
18:14:18,489 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
11:10:28,588 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
11:10:29,024 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
11:10:29,384 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=358 ms, enhance=0 ms, total=358 ms. Consult the log for full details
11:10:29,384 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
11:57:25,057 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
11:57:25,410 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
11:57:25,630 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=218 ms, enhance=0 ms, total=218 ms. Consult the log for full details
11:57:25,630 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
14:59:04,243 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
14:59:04,637 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
14:59:04,908 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=270 ms, enhance=0 ms, total=270 ms. Consult the log for full details
14:59:04,909 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:45:29,499 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:45:29,875 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:45:30,203 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=325 ms, enhance=0 ms, total=325 ms. Consult the log for full details
10:45:30,204 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
10:48:04,756 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
10:48:04,968 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
10:48:05,157 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed with success for 0 classes. Timings : input=188 ms, enhance=0 ms, total=188 ms. Consult the log for full details
10:48:05,158 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer completed and no classes were enhanced. Consult the log for full details
16:55:21,186 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer for API "JDO"
16:55:21,403 (main) INFO  [DataNucleus.Enhancer] - DataNucleus Enhancer (version 3.1.1) : Enhancement of classes
